,36527
Returns,58.45%
Volatility,15.67%
Sharpe Ratio,373.07%
AAPL Weight,0.65%
ABBV Weight,0.32%
ABT Weight,0.46%
ACN Weight,0.21%
ADBE Weight,1.35%
AIG Weight,1.48%
AMGN Weight,1.27%
AMT Weight,1.02%
AMZN Weight,0.78%
AVGO Weight,1.97%
AXP Weight,1.86%
BA Weight,1.79%
BAC Weight,1.95%
BIIB Weight,0.05%
BK Weight,1.60%
BKNG Weight,0.62%
BLK Weight,1.12%
BMY Weight,1.35%
C Weight,0.96%
CAT Weight,0.91%
CHTR Weight,0.63%
CL Weight,0.06%
CMCSA Weight,1.70%
COF Weight,1.88%
COP Weight,1.90%
COST Weight,0.07%
CRM Weight,0.03%
CSCO Weight,1.37%
CVS Weight,0.77%
CVX Weight,0.20%
DD Weight,1.68%
DHR Weight,0.49%
DIS Weight,2.00%
DOW Weight,2.06%
DUK Weight,1.46%
EMR Weight,1.04%
EXC Weight,0.38%
F Weight,1.82%
FB Weight,2.05%
FDX Weight,1.25%
GD Weight,0.57%
GE Weight,1.34%
GILD Weight,1.71%
GM Weight,1.51%
GOOG Weight,0.97%
GOOGL Weight,0.93%
GS Weight,1.07%
HD Weight,0.46%
HON Weight,0.58%
IBM Weight,0.12%
INTC Weight,1.75%
JNJ Weight,0.38%
JPM Weight,1.66%
KHC Weight,1.23%
KO Weight,0.66%
LIN Weight,1.04%
LLY Weight,0.57%
LMT Weight,1.58%
LOW Weight,1.68%
MA Weight,0.22%
MCD Weight,0.10%
MDLZ Weight,0.71%
MDT Weight,0.27%
MET Weight,1.16%
MMM Weight,0.44%
MO Weight,1.87%
MRK Weight,0.84%
MS Weight,1.91%
MSFT Weight,2.03%
NEE Weight,1.40%
NFLX Weight,1.09%
NKE Weight,1.18%
NVDA Weight,0.80%
ORCL Weight,1.78%
PEP Weight,0.60%
PFE Weight,0.51%
PG Weight,1.47%
PM Weight,0.03%
PYPL Weight,1.74%
QCOM Weight,0.13%
RTX Weight,0.11%
SBUX Weight,0.55%
SO Weight,0.61%
SPG Weight,1.63%
T Weight,0.64%
TGT Weight,1.43%
TMO Weight,0.28%
TMUS Weight,0.23%
TSLA Weight,0.20%
TXN Weight,0.04%
UNH Weight,0.85%
UNP Weight,0.13%
UPS Weight,0.25%
USB Weight,0.66%
V Weight,1.88%
VZ Weight,0.24%
WBA Weight,1.56%
WFC Weight,1.60%
WMT Weight,0.73%
XOM Weight,1.75%
